"name","price","url"
"Cabo Dinamic Branco Micro USB 1 Metro GS-5229 GShield","R$ 16,90","https://www.portinfo.com.br/produto/cabo-dinamic-branco-micro-usb-1-metro-gs-5229-gshield-5664"
"Cabo Dinamic Branco Tipo C Tipo C 1 Metro GS-5232 GShield","R$ 21,90","https://www.portinfo.com.br/produto/cabo-dinamic-branco-tipo-c-tipo-c-1-metro-gs-5232-gshield-5666"
"Cabo Dinamic Branco Tipo C USB 1 Metro GS-4075 GShield","R$ 21,90","https://www.portinfo.com.br/produto/cabo-dinamic-branco-tipo-c-usb-1-metro-gs-4075-gshield-5677"
"Cabo Dinamic Gshield Lightning Branco 1 Metro GS-3158-IP","R$ 89,90","https://www.portinfo.com.br/produto/cabo-dinamic-gshield-lightning-branco-1-metro-gs-3158-ip-10649"
"Cabo Dinamic Preto Tipo C USB 1 Metro GS-5233 GShield","R$ 18,90","https://www.portinfo.com.br/produto/cabo-dinamic-preto-tipo-c-usb-1-metro-gs-5233-gshield-5668"
"Cabo Displayport + Displayport 1.2 Branco 2 Metros 5+","R$ 29,90","https://www.portinfo.com.br/produto/cabo-displayport-displayport-12-branco-2-metros-5-8107"
"Cabo Displayport 1.1 1,8 Metros Dourado MD9","R$ 39,00","https://www.portinfo.com.br/produto/cabo-displayport-11-18-metros-dourado-md9-6202"
"Cabo Displayport 1.2 4K 1,8 Metros","R$ 29,90","https://www.portinfo.com.br/produto/cabo-displayport-1-2-1-8-metros-4k-11853"
"Cabo Displayport MD9 1.8 Metros Branco Dourado","R$ 62,90","https://www.portinfo.com.br/produto/cabo-displayport-md9-18-metros-branco-dourado-5346"
"Cabo Displayport MD9 1.8 Metros Niquelado","R$ 49,90","https://www.portinfo.com.br/produto/cabo-displayport-md9-18-metros-niquelado-5345"
"Cabo Displayport MD9 Para HDMI 15cm 4K","R$ 35,90","https://www.portinfo.com.br/produto/cabo-displayport-md9-para-hdmi-15cm-4k-5597"
"Cabo Displayport MD9 Para HDMI 1.8 Metros","R$ 40,90","https://www.portinfo.com.br/produto/cabo-displayport-md9-para-hdmi-18-metros-5347"
"Cabo Displayport MD9 Para HDMI 3 Metros","R$ 62,90","https://www.portinfo.com.br/produto/cabo-displayport-md9-para-hdmi-3-metros-5348"
